year,date,carrier,origin_city,destination,dep_delay,arr_delay,cancelled,diverted,air_time,distance
2017,2017/1/17,UA,Houston,New York,-6,14,NO,NO,159,1416
2017,2017/1/16,UA,New York,Chicago,-3,7,NO,NO,130,733
2017,2017/1/16,UA,New York,Chicago,-1,13,NO,NO,146,733
2017,2017/1/15,UA,Houston,New York,-3,4,NO,NO,168,1416
2017,2017/1/11,VX,San Francisco,New York,44,8,NO,NO,278,2586
2017,2017/1/11,VX,Dallas,New York,-11,7,NO,NO,167,1381
2017,2017/1/12,VX,Los Angeles,New York,71,9,NO,NO,270,2475
2017,2017/1/13,VX,New York,San Francisco,-6,10,NO,NO,373,2586
2017,2017/1/14,VX,New York,San Francisco,-2,6,NO,NO,372,2586
2017,2017/1/15,VX,San Francisco,New York,-3,13,NO,NO,293,2586
2017,2017/1/15,VX,Dallas,New York,450,5,NO,NO,168,1381
2017,2017/1/16,VX,Los Angeles,New York,-3,9,NO,NO,280,2475
2017,2017/1/17,VX,New York,Los Angeles,-4,24,NO,NO,319,2475
2017,2017/1/18,VX,New York,San Francisco,79,6,NO,NO,340,2586
2017,2017/1/18,VX,New York,Dallas,-8,7,NO,NO,201,1381
2017,2017/1/19,VX,New York,Los Angeles,-3,15,NO,NO,321,2475
2017,2017/1/2,VX,New York,San Francisco,-1,9,NO,YES,,2586
2017,2017/1/20,VX,New York,San Francisco,39,7,NO,NO,334,2586
2017,2017/1/20,VX,New York,Dallas,-7,4,NO,NO,201,1381
2017,2017/1/22,VX,Los Angeles,New York,39,10,NO,NO,264,2475
2017,2017/1/23,VX,New York,Los Angeles,31,13,NO,NO,368,2475
2017,2017/1/24,VX,New York,San Francisco,-2,5,NO,NO,338,2586
2017,2017/1/24,VX,New York,Dallas,74,20,NO,NO,215,1381
2017,2017/1/25,VX,Los Angeles,New York,13,10,NO,NO,267,2475
2017,2017/1/26,VX,Los Angeles,New York,9,8,NO,NO,272,2475
2017,2017/1/27,VX,San Francisco,New York,-8,10,NO,NO,307,2586
2017,2017/1/27,VX,Dallas,New York,-10,4,NO,NO,148,1381
2017,2017/1/29,VX,Los Angeles,New York,-3,11,NO,NO,297,2475
2017,2017/1/3,VX,New York,Los Angeles,-5,9,NO,NO,380,2475
2017,2017/1/30,VX,New York,San Francisco,-1,9,NO,NO,357,2586
2017,2017/1/31,VX,New York,San Francisco,-7,9,NO,NO,358,2586
2017,2017/1/4,VX,New York,Los Angeles,-2,11,NO,NO,364,2475
